component,explained_variance_ratio,cumulative_explained_variance
PC418,2.018669123419329e-05,0.9978781431011757
PC419,1.9975050112681238e-05,0.9978981181512884
PC420,1.986968363921347e-05,0.9979179878349276
PC421,1.9685281050817356e-05,0.9979376731159784
PC422,1.9642355678841915e-05,0.9979573154716572
PC423,1.9590995823911166e-05,0.9979769064674812
PC424,1.9443032673085896e-05,0.9979963495001543
PC425,1.9382003978967172e-05,0.9980157315041333
PC426,1.919063289395147e-05,0.9980349221370272
PC427,1.9160834840553668e-05,0.9980540829718677
PC428,1.9016876475896915e-05,0.9980730998483436
PC429,1.892300005876166e-05,0.9980920228484024
PC430,1.8806237717937917e-05,0.9981108290861203
PC431,1.8698936068318598e-05,0.9981295280221886
PC432,1.8378439379942405e-05,0.9981479064615685
PC433,1.8215847987629806e-05,0.9981661223095561
PC434,1.8116471967211922e-05,0.9981842387815234
PC435,1.8055985089896146e-05,0.9982022947666133
PC436,1.802604349969194e-05,0.9982203208101129
PC437,1.7819667528082506e-05,0.998238140477641
PC438,1.7652023331118595e-05,0.9982557925009722
PC439,1.7537082910558747e-05,0.9982733295838827
PC440,1.7403298796348645e-05,0.9982907328826791
PC441,1.725915330778879e-05,0.9983079920359869
PC442,1.7120580042216795e-05,0.9983251126160291
PC443,1.7039524160694768e-05,0.9983421521401897
PC444,1.7000735757341327e-05,0.9983591528759471
PC445,1.6657997962566477e-05,0.9983758108739097
PC446,1.656776945297325e-05,0.9983923786433627
PC447,1.6445997410174346e-05,0.9984088246407729
PC448,1.632402343684882e-05,0.9984251486642097
PC449,1.6247763506620878e-05,0.9984413964277163
PC450,1.615960042016956e-05,0.9984575560281365
PC451,1.6125965248212643e-05,0.9984736819933847
PC452,1.589479925027081e-05,0.998489576792635
PC453,1.580068221496812e-05,0.9985053774748499
PC454,1.5655282929592357e-05,0.9985210327577795
PC455,1.550256921731284e-05,0.9985365353269968
PC456,1.549829544240148e-05,0.9985520336224393
PC457,1.5368017087005966e-05,0.9985674016395263
PC458,1.5296972669521824e-05,0.9985826986121958
PC459,1.5250498701881817e-05,0.9985979491108977
PC460,1.5059111821410725e-05,0.9986130082227191
PC461,1.5011060782043043e-05,0.9986280192835012
PC462,1.4871426247956475e-05,0.9986428907097492
PC463,1.4789095129440272e-05,0.9986576798048786
PC464,1.4716765433662524e-05,0.9986723965703123
PC465,1.4549759637790915e-05,0.99868694632995
PC466,1.4413127148448704e-05,0.9987013594570985
PC467,1.425949502741371e-05,0.9987156189521259
PC468,1.4210471131974614e-05,0.9987298294232578
PC469,1.4175432612822143e-05,0.9987440048558707
PC470,1.4121439908933827e-05,0.9987581262957796
PC471,1.3956196586619245e-05,0.9987720824923663
PC472,1.3874691434573262e-05,0.9987859571838008
PC473,1.3766616285587934e-05,0.9987997238000864
PC474,1.370747080414501e-05,0.9988134312708905
PC475,1.3573234656146562e-05,0.9988270045055466
PC476,1.3449707860943819e-05,0.9988404542134076
PC477,1.3409483675640738e-05,0.9988538636970833
PC478,1.3392406813637098e-05,0.9988672561038969
PC479,1.328361569820509e-05,0.9988805397195951
PC480,1.324026542447384e-05,0.9988937799850196
PC481,1.3174584137515005e-05,0.9989069545691571
PC482,1.3044531299122745e-05,0.9989199991004563
PC483,1.3038394252172592e-05,0.9989330374947084
PC484,1.29719847940951e-05,0.9989460094795025
PC485,1.2922962061559704e-05,0.9989589324415641
PC486,1.286660892885692e-05,0.9989717990504929
PC487,1.2788053417550426e-05,0.9989845871039105
PC488,1.2740324910229506e-05,0.9989973274288207
PC489,1.2704776004737316e-05,0.9990100322048255
PC490,1.268185850198835e-05,0.9990227140633275
PC491,1.260601078977793e-05,0.9990353200741173
PC492,1.2594994572885857e-05,0.9990479150686902
